;Names;FA;FA StdDev;MD;MD StdDev;RD;RD StdDev;AD;AD StdDev;Time
0;Subject_100307;0.6911365076358367;0.17053805156864002;0.0008573800775307913;0.0002918264605333419;0.00045991514770389716;0.0003578432398706043;0.0016523099371845795;0.00022291631982339615;30.34
1;Subject_100408;0.657943891235734;0.1871231687542807;0.0008189476636986568;0.00024327168104169378;0.00046487611010803285;0.0003085161627664315;0.0015270907708799044;0.00021603563945869468;34.38
2;Subject_100206;0.7190863272667865;0.16145558466790275;0.0008133315687871078;0.000259782967148226;0.0004046901811851961;0.0003105214507609554;0.0016306143439909317;0.0002893466348206142;29.46
