;Names;FA;FA StdDev;MD;MD StdDev;RD;RD StdDev;AD;AD StdDev;Time
0;Subject_100307;0.72469413;0.10944563;0.0007990471;0.00010924284;0.00038421212;0.00014397713;0.001628717;0.00015182373;2.45
1;Subject_100408;0.70538145;0.13054627;0.0007643232;0.00014418745;0.00038662626;0.00017125747;0.0015197169;0.0002008005;2.35
2;Subject_100206;0.7464987;0.11570189;0.0007695454;0.00012921651;0.00034801816;0.00015076724;0.0016125998;0.00025039833;2.34
