;Names;FA;FA StdDev;MD;MD StdDev;RD;RD StdDev;AD;AD StdDev;Time
0;Subject_157942;0.6928366894883;0.19685562134129292;0.0008120836825382814;0.0003216286842587529;0.0004380923827456596;0.0003873867373815143;0.001560066282123525;0.00025949755698781695;35.74
1;Subject_158035;0.7256215719111787;0.17362265567665736;0.000802158645054479;0.0002572470041969662;0.00039665809930197315;0.00031939397826008157;0.0016131597365594906;0.00022034531693013938;28.79
2;Subject_158136;0.6646834570584561;0.16335196794113135;0.0007503653950478219;0.0002557626747273234;0.0004233478881809169;0.00030257406520918176;0.001404400408781632;0.00021724072416609387;29.37
3;Subject_158338;0.705087100392274;0.18885343477911243;0.0007779711354674585;0.0002739598492188372;0.00040216898691056597;0.0003359721032491304;0.0015295754325812432;0.0002467193734075001;33.31
4;Subject_158540;0.7621403886306277;0.1714993832090608;0.0007828589230401379;0.00023498610061518742;0.00035091728452076254;0.000298925960979177;0.0016467422000788884;0.00019719249291077224;30.68
5;Subject_158843;0.6910151639856182;0.16981074722281297;0.0008331116170845903;0.00024740142171703473;0.00044088332996689017;0.0003092009535690864;0.0016175681913199907;0.000210688773135134;29.61
6;Subject_159138;0.6534598142870783;0.158798878498056;0.0008179859758640298;0.0002300280557644074;0.00046509936050614687;0.0002775015611601064;0.0015237592065797958;0.00022555256949276052;29.39
7;Subject_159239;0.6815433266705311;0.1947465527440739;0.0008194805446764524;0.0003524289991365787;0.000458489680310385;0.0004223470471493802;0.0015414622734085872;0.00026580407560675856;29.6
8;Subject_159340;0.6372197900226351;0.1880082828677414;0.0008116531023833347;0.00029810259102693086;0.0004786406619402025;0.0003533496469920771;0.001477677983269599;0.0002729013829847164;32.75
9;Subject_159441;0.6784035005695378;0.21525901912348203;0.0008493634446159212;0.0003821021654114682;0.0004839274637521291;0.0004564788047509753;0.0015802354063435059;0.00028465886312658894;30.01
10;Subject_159744;0.7128869130025097;0.173651910773913;0.0008031503382828735;0.00029467983920406263;0.0004092620051710951;0.0003524986310887588;0.0015909270045064302;0.00027582532716178437;30.29
11;Subject_159946;0.6600579574556162;0.15365531068263932;0.0008332754273806646;0.0002583848404038005;0.0004672192414056523;0.0003070761045185714;0.001565387799330689;0.0002459149102372931;28.87
